MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
20	1.65	36.05	1.65	36.05
20.099	1.955	36.25	1.955	36.25
20.199	2.125	36.45	2.125	36.45
20.299	2.235	36.6	2.235	36.6
20.399	2.235	36.85	2.235	36.85
20.499	2.175	37	2.175	37
20.599	1.975	37.2	1.975	37.2
20.699	1.75	37.35	1.75	37.35
20.799	1.465	37.6	1.465	37.6
20.899	1.23	37.75	1.23	37.75
20.999	0.96	38	0.96	38
21.099	0.785	38.15	0.785	38.15
21.199	0.605	38.35	0.605	38.35
21.299	0.485	38.55	0.485	38.55
21.399	0.37	38.7	0.37	38.7
21.499	0.29	38.9	0.29	38.9
21.599	0.235	39.1	0.235	39.1
21.699	0.215	39.3	0.215	39.3
21.799	0.225	39.5	0.225	39.5
21.899	0.285	39.7	0.285	39.7
21.999	0.28	39.7	0.28	39.7
22.099	0.285	39.7	0.285	39.7
22.199	0.285	39.65	0.285	39.65
22.299	0.28	39.7	0.28	39.7
22.399	0.285	39.7	0.285	39.7
22.499	0.28	39.65	0.28	39.65
22.599	0.285	39.7	0.285	39.7
22.699	0.285	39.7	0.285	39.7
22.799	0.285	39.65	0.285	39.65
22.899	0.285	39.7	0.285	39.7
22.999	0.285	39.7	0.285	39.7
23.099	0.285	39.7	0.285	39.7
23.199	0.29	39.65	0.29	39.65
23.299	0.28	39.7	0.28	39.7
23.399	0.29	39.7	0.29	39.7
23.499	0.28	39.65	0.28	39.65
23.599	0.285	39.7	0.285	39.7
23.699	0.28	39.7	0.28	39.7
