&a  °	I1  %
0.187	8.4
0.182	8.4
0.176	8.8
0.171	8.8
0.166	8.8
0.160	8.4
0.155	8.4
0.150	8.4
0.144	8.4
0.139	8.4
0.134	8.4
0.128	8.0
0.123	8.0
0.118	8.0
0.112	8.0
0.107	7.6
0.102	7.6
0.096	7.6
0.091	7.6
0.086	7.6
0.080	7.6
0.075	7.6
0.070	7.6
0.064	7.2
0.059	7.2
0.053	7.2
0.048	7.2
0.043	7.2
0.037	7.2
0.032	7.2
0.027	7.2
0.021	7.2
0.016	7.2
0.011	7.2
0.005	7.2
0.000	7.2
-0.005	7.2
-0.011	7.2
-0.016	7.2
-0.021	7.2
-0.027	7.2
-0.032	7.2
-0.037	7.2
-0.043	7.2
-0.048	7.2
-0.053	7.2
-0.059	7.2
-0.064	7.2
-0.070	7.2
-0.075	7.2
-0.080	7.2
-0.086	7.2
-0.091	7.2
-0.096	7.2
-0.102	7.2
-0.107	7.6
-0.112	7.6
-0.118	7.6
-0.123	8.0
-0.128	8.0
-0.134	8.0
-0.139	8.0
-0.144	8.0
-0.150	8.4
-0.155	8.4
-0.160	8.8
-0.166	8.8
-0.171	8.8
-0.176	9.2
-0.182	9.2
-0.187	9.6
-0.193	9.6
-0.198	10.0
-0.203	10.0
-0.209	10.4
-0.214	10.4
-0.219	10.8
-0.225	10.8
-0.230	11.2
-0.235	11.6
-0.241	12.0
-0.246	12.4
-0.251	12.4
-0.257	12.8
-0.262	13.2
-0.267	13.6
-0.273	14.0
-0.278	14.8
-0.283	15.6
-0.289	16.0
-0.294	16.4
-0.299	17.2
-0.305	18.0
-0.310	18.8
-0.316	19.6
-0.321	20.8
-0.326	22.0
-0.332	23.2
-0.337	24.4
-0.342	25.6
-0.348	26.8
-0.353	27.6
-0.358	28.8
-0.364	29.6
-0.369	30.8
-0.374	32.0
-0.380	33.2
-0.385	34.4
-0.390	35.6
-0.396	36.4
-0.401	37.6
-0.406	38.4
-0.412	39.2
-0.417	39.2
-0.422	39.6
-0.428	40.0
-0.433	40.4
-0.438	40.8
-0.444	40.8
-0.449	40.8
-0.455	40.8
-0.460	40.4
-0.465	40.0
-0.471	39.6
-0.476	38.8
-0.481	38.0
-0.487	36.8
-0.492	35.2
-0.497	34.4
-0.503	34.0
-0.508	33.2
-0.513	32.4
-0.519	31.2
-0.524	30.0
-0.529	28.4
-0.535	26.8
-0.540	24.8
-0.545	22.8
-0.551	21.2
-0.556	19.6
-0.561	18.0
-0.567	16.4
-0.572	14.8
-0.578	13.6
-0.583	12.4
-0.588	11.6
