&a / °	I1 / %
0,332	4,0
0,329	4,0
0,326	4,0
0,324	4,0
0,321	4,0
0,318	4,0
0,316	4,0
0,313	4,0
0,310	4,0
0,307	4,1
0,305	4,0
0,302	4,0
0,299	4,0
0,297	4,0
0,294	4,0
0,291	4,0
0,289	4,0
0,286	4,0
0,283	4,0
0,281	4,0
0,278	4,0
0,275	4,1
0,273	4,1
0,270	4,1
0,267	4,0
0,265	4,0
0,262	4,0
0,259	4,0
0,257	4,0
0,254	4,1
0,251	4,1
0,249	4,1
0,246	4,0
0,243	4,0
0,241	4,0
0,238	4,0
0,235	4,0
0,233	4,0
0,230	4,0
0,227	4,0
0,225	4,0
0,222	4,0
0,219	4,0
0,217	4,1
0,214	4,1
0,211	4,1
0,209	4,1
0,206	4,1
0,203	4,1
0,201	4,1
0,198	4,1
0,195	4,1
0,193	4,1
0,190	4,1
0,187	4,1
0,184	4,1
0,182	4,1
0,179	4,1
0,176	4,1
0,174	4,1
0,171	4,1
0,168	4,1
0,166	4,1
0,163	4,2
0,160	4,2
0,158	4,2
0,155	4,2
0,152	4,2
0,150	4,2
0,147	4,2
0,144	4,2
0,142	4,2
0,139	4,2
0,136	4,2
0,134	4,2
0,131	4,2
0,128	4,2
0,126	4,2
0,123	4,3
0,120	4,3
0,118	4,3
0,115	4,3
0,112	4,4
0,110	4,4
0,107	4,4
0,104	4,5
0,102	4,5
0,099	4,5
0,096	4,5
0,094	4,5
0,091	4,6
0,088	4,6
0,086	4,6
0,083	4,7
0,080	4,8
0,078	4,9
0,075	5,0
0,072	5,2
0,070	5,3
0,067	5,6
0,064	5,9
0,061	6,2
0,059	6,6
0,056	7,1
0,053	7,8
0,051	8,6
0,048	9,6
0,045	10,7
0,043	11,7
0,040	12,9
0,037	14,3
0,035	16,1
0,032	18,2
0,029	20,6
0,027	23,3
0,024	26,8
0,021	30,9
0,019	35,2
0,016	40,1
0,013	45,6
0,011	52,2
0,008	58,9
0,005	65,2
0,003	70,4
0,000	78,0
-0,003	79,6
-0,005	80,6
-0,008	81,8
-0,011	82,0
-0,013	80,6
-0,016	77,9
-0,019	73,9
-0,021	65,5
-0,024	57,9
-0,027	50,7
-0,029	46,8
-0,032	40,7
-0,035	34,9
-0,037	29,5
-0,040	24,7
-0,043	20,6
-0,045	17,2
-0,048	14,6
-0,051	12,5
-0,053	11,0
-0,056	9,9
-0,059	9,1
-0,061	8,7
-0,064	8,5
-0,067	8,5
-0,070	8,5
-0,072	8,8
-0,075	9,2
-0,078	9,7
-0,080	10,5
-0,083	11,5
-0,086	12,6
-0,088	13,9
-0,091	15,4
-0,094	17,1
-0,096	19,0
-0,099	20,8
-0,102	22,5
-0,104	24,6
-0,107	25,1
-0,110	25,4
-0,112	25,3
-0,115	25,5
-0,118	25,2
-0,120	23,9
-0,123	22,2
-0,126	20,4
-0,128	18,4
-0,131	16,4
-0,134	14,5
-0,136	12,7
-0,139	11,1
-0,142	9,8
-0,144	8,5
-0,147	7,6
-0,150	6,8
-0,152	6,2
-0,155	5,7
-0,158	5,4
-0,160	5,1
-0,163	5,0
-0,166	4,8
-0,168	4,7
-0,171	4,7
-0,174	4,7
-0,176	4,6
-0,179	4,6
-0,182	4,6
-0,184	4,5
-0,187	4,5
-0,190	4,5
-0,193	4,5
-0,195	4,4
-0,198	4,4
-0,201	4,4
-0,203	4,3
-0,206	4,3
-0,209	4,3
-0,211	4,3
-0,214	4,3
-0,217	4,3
-0,219	4,3
-0,222	4,3
-0,225	4,3
-0,227	4,3
-0,230	4,3
-0,233	4,3
-0,235	4,3
-0,238	4,3
-0,241	4,2
-0,243	4,2
-0,246	4,2
-0,249	4,3
-0,251	4,2
-0,254	4,3
